ANALYZING FOLDER: D:\camera_kits\filtered_photos_20260205_184941_105mm-299mm
======================================================================

Found 1 folder(s) with JPG files
======================================================================

######################################################################
# FOLDER 1/1: (root)
######################################################################

======================================================================
SUMMARY
======================================================================

     Metric  Actual Focal Length  35mm Equivalent
      Count          2036.000000      2036.000000
               212     14            0.69           79.28
               213      2            0.10           79.38
               215      8            0.39           79.77
               216      4            0.20           79.97
               217      6            0.29           80.26
               218      2            0.10           80.36
               219      6            0.29           80.65
               222     28            1.38           82.03
               224      2            0.10           82.13
               225     14            0.69           82.82
               228      6            0.29           83.11
               229      4            0.20           83.31
               230     42            2.06           85.37
               232     22            1.08           86.45
               235     14            0.69           87.14
               239     32            1.57           88.71
               241      6            0.29           89.00
               242     10            0.49           89.49
               246      6            0.29           89.78
               247     18            0.88           90.66
               248     10            0.49           91.15
               249      4            0.20           91.35
               254     16            0.79           92.14
               255     16            0.79           92.93
               256      6            0.29           93.22
               262     24            1.18           94.40
               264      4            0.20           94.60
               269     24            1.18           95.78
               270      4            0.20           95.98
               271     18            0.88           96.86
               272      2            0.10           96.96
               276     10            0.49           97.45
               279      2            0.10           97.55
               280     18            0.88           98.43
               281      6            0.29           98.72
               283      2            0.10           98.82
               290      8            0.39           99.21
               291     14            0.69           99.90
               298      2            0.10          100.00


**********************************************************************
**********************************************************************
OVERALL SUMMARY - ALL FOLDERS COMBINED
**********************************************************************
**********************************************************************

======================================================================
SUMMARY
======================================================================

     Metric  Actual Focal Length  35mm Equivalent
      Count          2036.000000      2036.000000
   Min (mm)             4.000000       105.000000
   Max (mm)           180.000000       298.000000
  Mean (mm)            34.590864       163.523576
Median (mm)            27.900000       148.000000

35mm Equivalent Frequency Distribution:
 Focal Length (mm)  Count  Percentage (%)  Cumulative (%)
               105    240           11.79           11.79
               106      4            0.20           11.99
               107     28            1.38           13.37
               108     28            1.38           14.75
               109     38            1.87           16.62
               110      8            0.39           17.01
               111      2            0.10           17.11
               112     64            3.14           20.25
               113     12            0.59           20.84
               114      4            0.20           21.04
               115     18            0.88           21.92
               116     20            0.98           22.90
               117     60            2.95           25.85
               118      4            0.20           26.05
               119     40            1.96           28.01
               120      8            0.39           28.40
               121      6            0.29           28.69
               122      6            0.29           28.98
               123     24            1.18           30.16
               125     22            1.08           31.24
               126     14            0.69           31.93
               127     34            1.67           33.60
               128      2            0.10           33.70
               129     18            0.88           34.58
               131     18            0.88           35.46
               132      8            0.39           35.85
               133      6            0.29           36.14
               135     54            2.65           38.79
               136     14            0.69           39.48
               138     18            0.88           40.36
               139     34            1.67           42.03
               140     26            1.28           43.31
               141      4            0.20           43.51
               142     14            0.69           44.20
               143     42            2.06           46.26
               144      2            0.10           46.36
               145     10            0.49           46.85
               146     38            1.87           48.72
               147     16            0.79           49.51
               148     14            0.69           50.20
               149      2            0.10           50.30
               150     22            1.08           51.38
               151      6            0.29           51.67
               152      8            0.39           52.06
               153      4            0.20           52.26
               154     32            1.57           53.83
               156     20            0.98           54.81
               157     14            0.69           55.50
               159     20            0.98           56.48
               160      8            0.39           56.87
               161     14            0.69           57.56
               163     34            1.67           59.23
               164     16            0.79           60.02
               165      4            0.20           60.22
               166     14            0.69           60.91
               168     40            1.96           62.87
               169     12            0.59           63.46
               170      2            0.10           63.56
               171      6            0.29           63.85
               173     18            0.88           64.73
               174     18            0.88           65.61
               175      8            0.39           66.00
               178     32            1.57           67.57
               179      8            0.39           67.96
               182      4            0.20           68.16
               183     42            2.06           70.22
               184      4            0.20           70.42
               187      2            0.10           70.52
               188      2            0.10           70.62
               189     36            1.77           72.39
               190      4            0.20           72.59
               192      2            0.10           72.69
               194     14            0.69           73.38
               195      8            0.39           73.77
               198      2            0.10           73.87
               199     12            0.59           74.46
               200     24            1.18           75.64
               202      2            0.10           75.74
               203      4            0.20           75.94
               205     12            0.59           76.53
               206     24            1.18           77.71
               209      6            0.29           78.00
               211     12            0.59           78.59
               212     14            0.69           79.28
               213      2            0.10           79.38
               215      8            0.39           79.77
               216      4            0.20           79.97
               217      6            0.29           80.26
               218      2            0.10           80.36
               219      6            0.29           80.65
               222     28            1.38           82.03
               224      2            0.10           82.13
               225     14            0.69           82.82
               228      6            0.29           83.11
               229      4            0.20           83.31
               230     42            2.06           85.37
               232     22            1.08           86.45
               235     14            0.69           87.14
               239     32            1.57           88.71
               241      6            0.29           89.00
               242     10            0.49           89.49
               246      6            0.29           89.78
               247     18            0.88           90.66
               248     10            0.49           91.15
               249      4            0.20           91.35
               254     16            0.79           92.14
               255     16            0.79           92.93
               256      6            0.29           93.22
               262     24            1.18           94.40
               264      4            0.20           94.60
               269     24            1.18           95.78
               270      4            0.20           95.98
               271     18            0.88           96.86
               272      2            0.10           96.96
               276     10            0.49           97.45
               279      2            0.10           97.55
               280     18            0.88           98.43
               281      6            0.29           98.72
               283      2            0.10           98.82
               290      8            0.39           99.21
               291     14            0.69           99.90
               298      2            0.10          100.00


Report saved to: D:\camera_kits\focal_length_analysis_20260205_193132\filtered_photos_20260205_184941_105mm-299mm.txt
